場所名稱,住址
屏東市代表會,屏東縣屏東市台糖街21號1樓
屏東市公所,屏東縣屏東市台糖街61號2樓
屏東市移民署,屏東縣屏東市中山路60號1樓
屏東太平洋百貨,屏東縣屏東市中正路72號5樓
台灣銀行屏東分行,屏東縣屏東市中山路43號2樓
台灣銀行中屏分行,屏東縣屏東市中華路9號2樓
屏東殘障福利館,屏東縣屏東市建豐路35號2樓
屏東縣政府文化處,屏東縣屏東市大連路69號3樓
行政執署屏東分署,屏東縣屏東市建豐路28號1樓
台糖公司,屏東縣屏東市復興路245號2樓
家畜疾病防治所,屏東縣屏東市民學路23號1樓
國軍高雄總醫院屏東分院,屏東縣屏東市大湖路22號1樓
屏東縣政府警察局,屏東縣屏東市中正路119號4樓
屏東地政事務所,屏東縣屏東市自由路529號1樓
屏東戶政事務所,屏東縣屏東市自由路531號1樓
屏東縣政府,屏東縣屏東市自由路527號2樓
屏東縣議會,屏東縣屏東市忠孝路223號1樓
屏東縣選舉委員會,屏東縣屏東市太原一路36號1樓
財政部台灣省南區國稅局屏東縣分局,屏東縣屏東市北興街55號3樓
屏東監理站,屏東縣屏東市忠孝路222號1樓
審計部台灣省屏東縣審計室,屏東縣屏東市信義路155號1樓
屏東縣政府警察局交通隊,屏東縣屏東市和生路1段509號1樓
屏東火車站,屏東縣屏東市光復路43號
農田水利會,屏東縣屏東市信義路143號1樓
環球購物中心,屏東縣屏東市仁愛路90號4樓
潮州鎮圖書館,屏東縣潮州鎮三星路39號
潮州鎮公所,屏東縣潮州鎮中山路38號
潮州鎮地政事務所,屏東縣潮州鎮四維路20號
潮州鎮稅務分局,屏東縣潮州鎮三華巷16號
潮州稽徵所,屏東縣潮州鎮永康街66號
潮州鎮衛生所,屏東縣潮州鎮永坤路107號
潮州鎮公所清潔隊(室內網球場),屏東縣潮州鎮三城路301號2樓
警察潮州分局,屏東縣潮州鎮中山路12號
公路局第三養護工程處,屏東縣潮州鎮光復路259號
台灣銀行潮州分行,屏東縣潮州鎮新生路13之2號
土地銀行潮州分行,屏東縣潮州鎮新生路12號
八大森林遊樂區,屏東縣潮州鎮潮州路800號
交通部台灣鐵路管理局潮州火車站,屏東縣潮州鎮新榮里信義路111號
東港鎮公所,屏東縣東港鎮中山路2之100號
東港鎮衛生所,屏東縣東港鎮新生三路23號
台灣銀行東港分行,屏東縣東港鎮新勝街105號
屏東縣警察局東港分局,屏東縣東港鎮船頭里沿海路1號
交通部觀光局大鵬灣國家風景區管理處,屏東縣東港鎮大鵬里大潭路169號
東港地政事務所,屏東縣東港鎮中正路181號
屏東縣社會處東港區家庭福利服務中心,屏東縣東港鎮新生三路175號
恆春監理分站,屏東縣恆春鎮草埔路11號1樓
民航局恆春航空站,屏東縣恆春鎮省北路2段393號1樓
墾丁國家公園管理處-遊客中心,屏東縣恆春鎮墾丁路596號
墾丁國家公園管理處-行政中心,屏東縣恆春鎮墾丁路596號
台電核三廠,屏東縣恆春鎮南灣里南灣路387號1樓
台電核三廠展示館,屏東縣恆春鎮大光里大光路79之64號2樓
墾丁森林遊樂區,屏東縣恆春鎮墾丁里公園路201號2樓
恆春鎮衛生所,屏東縣恆春鎮文化路78號1樓
屏東縣消防局墾丁分隊,屏東縣恆春鎮鵝鑾里船帆路730號3樓
屏東縣消防局恆春分隊,屏東縣恆春鎮天文路60號4樓
恆春警察局,屏東縣恆春鎮中正路60號3樓
恆春戶政事務所,屏東縣恆春鎮天文路60號1樓
恆春鎮公所,屏東縣恆春鎮天文路1號1樓
萬丹鄉公所,屏東縣萬丹鄉萬後村和平西路155號
萬丹鄉圖書館,屏東縣萬丹鄉萬後村和平西路157號
萬丹鄉衛生所,屏東縣萬丹鄉四維村萬丹路1段501號
長治鄉衛生所,屏東縣長治鄉金星村潭頭路3號
長治鄉鄉公所,屏東縣長治鄉進興村潭頭路1號
行政院農業委員會高雄區農業改良場,屏東縣長治鄉德和村德和路2-6號
行政院農業委員會屏東農業生物科技園區籌備處,屏東縣長治鄉德和村神農路1號
九如鄉衛生所,屏東縣九如鄉九如路2段247號2樓
九如鄉公所,屏東縣九如鄉九如路2段416號3樓
九如鄉立圖書館,屏東縣九如鄉九如路2段264號
里港鄉衛生所,屏東縣里港鄉大平村中山路103-1號
里港鄉鄉公所,屏東縣里港鄉永春村中山路104號
里港鄉戶政事務所,屏東縣里港鄉大平村中山路105號
麟洛鄉鄉公所,屏東縣麟洛鄉中山路158號
麟洛鄉衛生所,屏東縣麟洛鄉麟蹄村中山路156之1號
鹽埔鄉衛生所,屏東縣鹽埔鄉勝利路187號
鹽埔鄉圖書館,屏東縣鹽埔鄉新二村彭厝路111號
台灣矢崎股份有限公司,屏東縣鹽埔鄉洛陽村四維路4號
高樹鄉衛生所,屏東縣高樹鄉長榮村南昌路12-2號
高樹鄉公所,屏東縣高樹鄉興中路330號
萬巒鄉衛生所,屏東縣萬巒鄉萬全村褒忠路14-2號2樓
